22:15:06.820 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: key12 Value: 12
22:15:06.820 [main] INFO  client.ClientLogger [INFO ] - Response: Inserted Key & value using PUT: Key: key12 Value: 12
22:15:06.820 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.820 [main] INFO  client.ClientLogger [INFO ] - GET: Key=key12, Checksum=1510030075
22:15:06.821 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Retrieved Key value using GET: Key: key12 Value: 12
22:15:06.821 [main] INFO  client.ClientLogger [INFO ] - Response: Retrieved Key value using GET: Key: key12 Value: 12
22:15:06.821 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.821 [main] INFO  client.ClientLogger [INFO ] - DELETE: Key=key12, Checksum=2289023103
22:15:06.821 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Deletion of  Key Successful: Key: key12
22:15:06.821 [main] INFO  client.ClientLogger [INFO ] - Response: Deletion of  Key Successful: Key: key12
22:15:06.821 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - PUT: Key=key13, Value=13
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: key13 Value: 13
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - Response: Inserted Key & value using PUT: Key: key13 Value: 13
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - GET: Key=key13, Checksum=755370605
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Retrieved Key value using GET: Key: key13 Value: 13
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - Response: Retrieved Key value using GET: Key: key13 Value: 13
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.822 [main] INFO  client.ClientLogger [INFO ] - DELETE: Key=key13, Checksum=4285040873
22:15:06.823 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Deletion of  Key Successful: Key: key13
22:15:06.823 [main] INFO  client.ClientLogger [INFO ] - Response: Deletion of  Key Successful: Key: key13
